; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 25 13:49:23 2019
; Channels (16/16)
; Sample rate: 4 MHz
; Sample count: 38.154112M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
4.16288625,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16288725,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162889,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16289,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628905,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162891,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16289175,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16289275,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16289325,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16289875,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162899,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628995,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16290025,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162902,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162903,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16290475,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16290575,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1629075,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1629085,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16291025,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16291125,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16291175,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16291275,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162914,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16291425,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1629155,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1629165,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16291825,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16291925,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16291975,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162921,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16292225,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1629235,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162924,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16292575,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163071,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1630725,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16307425,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16307525,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16307575,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163077,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163078,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1630785,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16307975,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16308075,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1630825,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1630835,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16308525,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163086,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163088,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16308875,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1630905,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16309175,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16309325,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16309425,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163096,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163097,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16309875,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16309975,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1631015,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1631025,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16310425,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16310525,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16310675,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163108,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16310825,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1631095,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1631105,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163111,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16311225,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16311325,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16311375,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163115,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163116,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16311775,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16311875,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16311925,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1631205,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1631215,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163122,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1632065,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16320925,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163211,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16321275,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16321375,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16321425,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1632155,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16321625,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16321675,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.163218,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.163219,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16322075,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16322175,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1632235,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1632245,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16322625,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16322725,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
